episode,total_qtasks,total_waiting_time,total_execution_time,avg_waiting_time,avg_execution_time,avg_rescheduling_count,total_rescheduling_count
1,36,703.7400402638754,334.7988262569291,19.548334451774316,9.299967396025808,0.7222222222222222,26
2,34,506.9490880374218,283.00209151276414,14.910267295218288,8.323590926846004,0.7058823529411765,24
3,38,956.5788102613171,312.54244101301845,25.173126585824136,8.224801079289959,0.868421052631579,33
4,32,380.718245763075,225.30482684812853,11.897445180096094,7.0407758390040165,0.5625,18
5,36,888.7274681136228,315.9115414376616,24.686874114267297,8.7753205954906,0.6944444444444444,25
6,34,433.4289080531976,198.86289302938093,12.747909060388164,5.848908618511204,0.6470588235294118,22
7,36,562.168995128546,203.39554141483808,15.61580542023739,5.649876150412169,0.75,27
8,36,853.2848165223872,323.0046977251787,23.702356014510755,8.972352714588297,0.6944444444444444,25
9,37,910.1942070078396,345.58869800835976,24.599843432644313,9.34023508130702,0.7837837837837838,29
10,37,675.955943813781,347.4432781928364,18.26907956253462,9.390358870076659,0.8108108108108109,30
11,37,778.2399317707404,327.9309431087199,21.03351166947947,8.862998462397835,0.8108108108108109,30
12,38,1101.062828785587,368.4509283438777,28.975337599620712,9.696077061680992,0.868421052631579,33
13,35,693.8320820864276,359.2997086710629,19.82377377389793,10.265705962030369,0.8,28
14,29,326.7822572366581,207.43090885340172,11.268353697815796,7.152789960462128,0.8275862068965517,24
15,33,358.97849303429666,274.6146090959304,10.878136152554445,8.3216548210888,0.6060606060606061,20
16,34,672.7598345289464,367.23277263132644,19.78705395673372,10.800963900921365,0.6764705882352942,23
17,33,617.0504569912343,326.939151958576,18.69849869670407,9.907247029047758,0.6363636363636364,21
18,37,629.4335679143023,280.6685380021998,17.0117180517379,7.585636162221616,0.8918918918918919,33
19,34,597.2533710230937,258.0157957982694,17.566275618326284,7.588699876419688,0.6176470588235294,21
20,38,908.9867521784936,315.1732471844573,23.9207040046972,8.294032820643613,0.8947368421052632,34
21,33,470.7044208664952,375.96882714768225,14.263770329287732,11.392994762050977,0.6060606060606061,20
22,33,544.7510764732942,284.23166022866,16.507608377978613,8.613080612989698,0.5757575757575758,19
23,36,641.4751877192348,261.80224274875843,17.818755214423188,7.272284520798845,0.75,27
24,37,481.91809907429433,258.96071808772666,13.024813488494441,6.998938326695315,0.8108108108108109,30
25,36,648.4618767105976,276.88873878719073,18.01282990862771,7.6913538551997425,0.8333333333333334,30
26,35,516.0112286329609,254.99197925632987,14.74317796094174,7.285485121609425,0.6857142857142857,24
27,34,554.6551683462685,315.30156901204424,16.313387304302015,9.273575559177772,0.6470588235294118,22
28,29,558.8472227782813,261.9480070166892,19.27059388890625,9.032689897127213,0.3793103448275862,11
29,36,788.852685322955,337.52724145732594,21.912574592304306,9.375756707147943,0.8055555555555556,29
30,36,742.3676320169457,287.9331204671387,20.621323111581823,7.998142235198297,0.7777777777777778,28
31,35,688.688567313493,315.78164415228787,19.676816208956943,9.022332690065367,0.7714285714285715,27
32,37,857.6637376408889,353.4517110396593,23.180101017321324,9.552748947017818,0.8108108108108109,30
33,37,744.1407776961933,362.3064506932735,20.111912910707925,9.792066234953339,0.7567567567567568,28
34,34,647.8716371352639,326.6032364295189,19.055048151037173,9.605977542044673,0.6764705882352942,23
35,34,693.413607407887,333.38184733243156,20.394517864937853,9.80534845095387,0.6764705882352942,23
36,35,632.1712907414549,321.85591123353254,18.06203687832728,9.19588317810093,0.7714285714285715,27
37,37,683.36487645334,281.16213976259206,18.469320985225405,7.598976750340326,0.8108108108108109,30
38,35,754.1722698879721,303.32167721862527,21.547779139656345,8.666333634817866,0.6857142857142857,24
39,36,737.1307275980544,298.0503084150096,20.4758535443904,8.279175233750268,0.7777777777777778,28
40,38,738.6601449071495,310.92842130902704,19.43842486597762,8.182326876553343,0.868421052631579,33
41,32,484.3190824391786,269.73066066766773,15.134971326224331,8.429083145864617,0.5625,18
42,34,728.3674582612794,279.2784419957696,21.422572301802333,8.214071823404987,0.6176470588235294,21
43,31,430.6153016445405,218.8172608350763,13.890816182081952,7.058621317260526,0.5161290322580645,16
44,34,643.478244889373,317.4903951415123,18.92583073204038,9.337952798279773,0.7352941176470589,25
45,37,517.2413036160906,270.9054955671214,13.979494692326773,7.321770150462741,0.8378378378378378,31
46,31,439.40334166584034,254.4749980843607,14.174301344059366,8.20887090594712,0.5161290322580645,16
47,38,658.4341622486745,262.6679194149056,17.32721479601775,6.912313668813305,0.8421052631578947,32
48,36,833.4156260297459,342.4762305053183,23.15043405638183,9.51322862514773,0.75,27
49,38,1026.40150573754,368.7917168881282,27.01056594046158,9.70504518126653,0.7894736842105263,30
50,37,880.346157455685,361.7502167562507,23.79313939069419,9.777032885304074,0.8108108108108109,30
51,36,748.3237929011457,345.73652068260446,20.786772025031823,9.603792241183458,0.7222222222222222,26
52,38,1106.8128841293883,366.1802737021581,29.126654845510217,9.636322992162055,0.868421052631579,33
53,32,784.990893006885,383.40760355157494,24.530965406465157,11.981487610986717,0.5,16
54,33,553.9625709752609,258.4304626015165,16.786744575007905,7.831226139439894,0.6060606060606061,20
55,34,709.9445511308195,349.0650242654322,20.880722092082927,10.266618360748007,0.6764705882352942,23
56,36,658.4873342278615,323.79896431262483,18.29131483966282,8.99441567535069,0.7777777777777778,28
57,33,362.469703150804,261.35775747816626,10.983930398509212,7.919932044792917,0.7272727272727273,24
58,36,493.6662093135983,297.67688550502544,13.712950258711064,8.268802375139595,0.8055555555555556,29
59,33,131.611960986781,176.64685259250896,3.9882412420236673,5.352934927045726,0.6666666666666666,22
60,37,980.6662437594196,427.45876164969263,26.504493074578907,11.552939504045748,0.7297297297297297,27
61,36,960.2931984686456,412.53647806332566,26.67481106857349,11.459346612870156,0.7222222222222222,26
62,31,445.25500290019045,252.1117460641638,14.363064609683564,8.132636969811736,0.5483870967741935,17
63,37,788.9102592372228,292.3367692801101,21.32189889830332,7.9009937643273,0.8378378378378378,31
64,33,458.41844555518674,281.9915749524455,13.891468047126871,8.545199240983196,0.6666666666666666,22
65,33,420.9114338409554,243.3363698280923,12.754891934574406,7.37382938873007,0.6060606060606061,20
66,33,681.2462001280119,349.4275880105061,20.64382424630339,10.588714788197155,0.6363636363636364,21
67,36,523.5975094539517,287.01331842703155,14.544375262609769,7.972592178528654,0.75,27
68,37,698.5145806679811,359.8797766700544,18.878772450485975,9.726480450542011,0.8648648648648649,32
69,30,404.27374244852217,294.57748451048445,13.47579141495074,9.819249483682816,0.43333333333333335,13
70,36,533.3208242502624,254.11894147574606,14.814467340285066,7.058859485437391,0.8055555555555556,29
71,38,853.7345223065131,347.55951413059495,22.466697955434555,9.146303003436708,0.868421052631579,33
72,37,260.10692509590626,234.75189571921652,7.029916894483953,6.344645830249095,0.8108108108108109,30
73,37,381.9267384521463,317.8992598614448,10.322344282490441,8.591871888147157,0.7837837837837838,29
74,35,315.3294166888263,308.19823236218804,9.009411905395037,8.8056637817768,0.7714285714285715,27
75,36,371.9349830226911,262.60664077514537,10.331527306185864,7.2946289104207045,0.7222222222222222,26
76,38,425.7407400149568,317.91708068124274,11.203703684604127,8.366238965295862,0.8947368421052632,34
77,37,370.09819251463887,271.1091281011091,10.002653851746997,7.327273732462408,0.7837837837837838,29
78,34,449.20577615656657,289.18144674742746,13.211934592840194,8.505336669041984,0.6764705882352942,23
79,31,589.7001630355244,308.3443153080691,19.022585904371756,9.946590816389326,0.5483870967741935,17
80,34,447.9277690670406,280.8969946091544,13.174346149030605,8.261676312033952,0.6764705882352942,23
81,38,645.2436824878059,337.620067047414,16.98009690757384,8.884738606510895,0.8947368421052632,34
82,37,714.8476597715398,298.5694415684683,19.32020702085243,8.06944436671536,0.8378378378378378,31
83,36,445.7354169911232,261.3060213667635,12.381539360864533,7.258500593521209,0.75,27
84,36,321.29888694750116,232.74572729557377,8.924969081875032,6.465159091543716,0.7777777777777778,28
85,36,511.81739500210097,253.03058407991935,14.21714986116947,7.028627335553315,0.7222222222222222,26
86,32,370.94136520970824,293.77300144692344,11.591917662803382,9.180406295216358,0.625,20
87,33,330.48733458960123,281.3239503297804,10.0147677148364,8.524968191811528,0.6363636363636364,21
88,32,277.0066266028116,264.42088609961405,8.656457081337862,8.263152690612939,0.59375,19
89,33,472.1959454066564,301.88351205202355,14.308968042625951,9.147985213697684,0.5757575757575758,19
90,33,655.2167600401535,321.7978593807917,19.855053334550107,9.751450284266415,0.6363636363636364,21
91,37,279.577143311637,249.47610722723556,7.556139008422621,6.742597492627988,0.8648648648648649,32
92,37,500.51009688382874,316.5924503500866,13.527299915779155,8.556552712164503,0.8108108108108109,30
93,38,554.8111126747881,309.3793824715241,14.600292438810213,8.141562696619054,0.868421052631579,33
94,36,668.8921703619471,311.6556609267236,18.58033806560964,8.65710169240899,0.7222222222222222,26
95,32,294.07382309702916,241.3125725505226,9.189806971782161,7.541017892203831,0.53125,17
96,36,701.6465305551483,295.8114833912675,19.490181404309673,8.21698564975743,0.8055555555555556,29
97,37,1043.3348624980663,431.59262437777124,28.198239526974763,11.664665523723547,0.8918918918918919,33
98,37,581.9808800387236,269.78128432761355,15.729212974019557,7.291386062908474,0.8648648648648649,32
99,31,767.6868793434296,389.87505754485943,24.764092882046118,12.576614759511594,0.45161290322580644,14
100,37,505.00084243348647,316.6403828868405,13.648671417121255,8.557848186130824,0.8378378378378378,31
